_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan
67d7c10c380fe7c6439f062a,e602b014-bab7-4ea8-be56-0e364dc45fe5-83122,5d0e294f-b483-4ba8-bd53-7f058427f35a,2025-01-06T11:13:00,in transit,2025-01-06T12:25:00,in transit,2025-01-08T13:22:00,in transit,2025-01-09T23:09:00,arrival at delivery depot,2025-01-10T14:57:00,arrival at delivery depot,2025-01-13T10:55:00,out for delivery,2025-01-13T10:55:00,arrival at delivery depot,2025-01-13T11:01:00,delivery attempted,2025-01-13T12:01:00,delivery attempted,2025-01-13T14:11:00,delivery attempted,2025-01-14T08:21:00,arrival at delivery depot,2025-01-14T08:53:00,out for delivery,2025-01-14T08:53:00,out for delivery,2025-01-14T11:32:00,delivery rescheduled,2025-01-14T11:32:00,delivery rescheduled,2025-01-14T12:32:00,delivery attempted,2025-01-14T12:32:00,delivery attempted,2025-01-14T12:32:00,delivery attempted,2025-01-14T13:45:00,scheduled for delivery,2025-01-14T13:45:00,scheduled for delivery,2025-01-14T13:45:00,scheduled for delivery,2025-01-14T14:53:00,delivery attempted,2025-01-14T14:53:00,delivery attempted,2025-01-14T14:53:00,delivery attempted,2025-01-15T09:33:00,shipment ready for collection from pick-up point,2025-01-15T09:33:00,shipment ready for collection from pick-up point,2025-01-15T09:33:00,shipment ready for collection from pick-up point,2025-01-16T08:36:00,shipment collected,2025-01-16T08:36:00,shipment collected,2025-01-16T08:36:00,shipment collected
67d7c107380fe7c6439afba2,H00FRA0002175929,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-26T12:21:34,shipment manifested,2024-12-27T08:04:00,collection scheduled,2024-12-27T16:50:30,collection failed,2024-12-27T19:01:03,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afbc1,H00FFA0003197631,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-07T20:15:31,shipment manifested,2025-01-08T07:16:00,collection scheduled,2025-01-08T12:43:02,shipment collected,2025-01-08T18:44:56,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afbd2,1Z2F1Y916825373515,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-26T16:23:50,shipment manifested,2024-12-27T10:19:00,shipment dropped off awaiting carrier collection,2024-12-27T10:19:53,shipment dropped off awaiting carrier collection,2024-12-30T13:03:02,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afbdf,TI8851091,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-08T00:00:00,shipment manifested,2025-01-08T13:47:00,in transit,2025-01-08T13:47:00,shipment collected,2025-01-08T13:48:40,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afbe0,1Z7E524X6894075993,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-07T20:20:29,shipment manifested,2025-01-10T10:20:00,shipment dropped off awaiting carrier collection,2025-01-10T10:20:06,shipment dropped off awaiting carrier collection,2025-01-10T15:30:25,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afbfe,1Z61A84F0417313434,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-26T17:58:32,shipment manifested,2024-12-27T13:50:00,shipment dropped off awaiting carrier collection,2024-12-27T13:50:54,shipment dropped off awaiting carrier collection,2024-12-30T12:06:29,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afc0a,1Z61A84F0407761871,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-26T19:53:43,shipment manifested,2024-12-28T12:48:00,shipment dropped off awaiting carrier collection,2024-12-28T12:48:32,shipment dropped off awaiting carrier collection,2024-12-30T15:08:50,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afc0f,H00FRA0002184904,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T09:04:42,shipment manifested,2025-01-04T09:57:49,shipment dropped off awaiting carrier collection,2025-01-04T15:55:18,unable to deliver to pick-up point - re-attempt on the next business day,2025-01-06T13:40:07,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afc21,1Z236V396898770270,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T10:17:53,shipment manifested,2024-12-27T11:11:00,shipment dropped off awaiting carrier collection,2024-12-27T11:11:00,shipment dropped off awaiting carrier collection,2024-12-27T13:52:47,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
